Country,YR2000,YR2003,YR2006,YR2009,YR2012,YR2015,YR2018,YR2021,Average
AUT,1.02,0.61,0.74,0.61,0.93,0.53,0.97,,0.77
BEL,2.06,,,,,,,,2.06
BGR,4.15,3.16,2.44,2.01,1.92,1.75,1.30,,2.39
CYP,0.85,,1.43,1.73,1.94,1.29,1.26,,1.42
CZE,1.86,1.59,1.26,0.90,0.99,0.83,,,1.24
DEU,1.68,1.34,1.21,0.99,0.81,0.83,0.95,,1.12
DNK,1.09,,,,0.84,1.09,1.01,,1.01
ESP,1.35,1.38,1.06,0.88,0.77,0.65,0.62,,0.96
EST,10.22,,,5.24,4.76,3.42,2.12,,5.15
FIN,2.85,1.97,2.25,2.25,1.63,1.50,1.56,,2.00
FRA,1.78,1.64,1.43,1.31,1.23,1.57,1.20,,1.45
GRC,,,0.98,1.39,1.54,0.87,0.94,,1.14
HRV,2.28,1.57,1.69,1.13,1.19,0.87,0.58,,1.33
HUN,2.01,2.25,1.73,1.40,1.26,2.26,0.89,,1.68
IRL,0.98,0.93,1.47,1.18,1.13,0.67,0.81,,1.02
ITA,1.35,,1.07,1.00,0.89,0.77,0.59,,0.94
LTU,10.57,,8.72,7.96,6.63,5.87,3.28,,7.17
LUX,0.92,0.67,1.50,1.01,0.00,0.88,0.50,,0.78
LVA,9.98,,,,3.38,3.35,4.36,,5.27
MLT,1.02,,0.00,0.97,2.84,0.92,1.59,,1.22
NLD,1.13,1.25,0.78,0.93,0.86,0.61,0.59,,0.88
POL,2.22,,,1.01,1.07,0.78,0.73,,1.16
PRT,1.13,,,,,,,,1.13
ROU,2.51,3.20,1.68,1.25,1.05,1.70,1.28,,1.81
SVK,2.39,2.54,1.52,1.44,1.16,0.81,1.14,,1.57
SVN,1.81,1.06,0.60,0.64,0.68,0.97,0.48,,0.89
SWE,1.08,0.95,1.00,1.00,0.71,1.15,1.08,,1.00
